mid,text,filename
m_U7lq3ZKu2k12hzUtAVByaHG4QVGQ7qUsMYxdf7wUc4r6FKbCcGqOuLrSixQFXvyjvwbUq-T-5RDtt6q3XfiBlw,Facebook.,/app/app/static/audioclip-1653395015000-10283.wav
m_Cj1KFQ36jVcYmz6BvGxHLHG4QVGQ7qUsMYxdf7wUc4rZGVCifhM5RK-6IDOj_zS-FXwnyR31lM8DAqPGNEcdEw,Why doesn't biashara?,/app/app/static/audioclip-1653395108000-4822.wav
m__LfKiqtwzliYPoVIJHbj2nG4QVGQ7qUsMYxdf7wUc4qvgm6hIzexfvj0YKLXprvuHuz3UWd30HD8nRukM0zYLg,Now takuji Libya Shara,/app/app/static/audioclip-1653395227000-5675.wav
m_rPYIhnVQDlqG9EeHc3XarHG4QVGQ7qUsMYxdf7wUc4pNDfoHgI4uRN4_mSd0iV9sxXCBHx8MBjZBzqaSjr3ooA,How can I register my business?,/app/app/static/audioclip-1653395271000-4736.wav
m_0UxfvaaL8TWWtiSW8D_ABXG4QVGQ7qUsMYxdf7wUc4rlO7Fi0WVYcZwzdxR0rNrS55DnG8y3fF0nucggv13iEg,Nataka crusader Libya Shara angle.,/app/app/static/audioclip-1653395360000-5846.wav
m_9IooVDcqGzvB0RI7jhKhNnG4QVGQ7qUsMYxdf7wUc4obUvP4x7sVcTV7asD25Yzp-fQjvs57aC_l49-8tkxJWw,Nataka KUSA jilli biashara.,/app/app/static/audioclip-1653400799000-3286.wav
m_HpNmY7J3mnPieUqGZWpS3HG4QVGQ7qUsMYxdf7wUc4rqCHXebLRzuDE8_wZeTuc2dAvN15z9GufJkIqvn0JdQg,Nutaku sajeli Kampuni nifanye nini.,/app/app/static/audioclip-1653411354000-7638.wav
m_B-jreJJ0Ug_ZbMtX44IDz3G4QVGQ7qUsMYxdf7wUc4rDVJpCVE5S36L4MtM-4CMNe14tXqTEteysWvdlRun4-A,Miliki money manufa Nikki Nana Nani.,/app/app/static/audioclip-1653411412000-8235.wav
m_yfGZtfabMtoNLt2nNFolKXG4QVGQ7qUsMYxdf7wUc4oB3sy5LoGNNeVIGqZm7uBcZ-ExQfGee5IJY4WdFjLffA,Who is a beneficial owner?,/app/app/static/audioclip-1653411563000-2347.wav
m_ANfAoa74ZyicBdUxtl-tzXG4QVGQ7qUsMYxdf7wUc4rInGfyTR8adBMTo9xIUPwc6D-5d_vtSY4DJDZl_hNP7g,What's a business name?,/app/app/static/audioclip-1653411648000-2859.wav
m_9gh11GCdzfQL2od6L062y3G4QVGQ7qUsMYxdf7wUc4oEbqZ_nhonWrQHBEFixboq-aCOdLe0gP0LwrRLs0eV_w,How can I file my returns?,/app/app/static/audioclip-1653411699000-5163.wav
m_c0P4oA8pLBeiJK_PMp5d_HG4QVGQ7qUsMYxdf7wUc4oc8lPTz3lDjvGhxLYrv0FGZANOrQ35r8G3wv8d9FMwoQ,Yes.,/app/app/static/audioclip-1653411760000-2859.wav
m_HZtJ7u-aaz-7uyxbPBBbNXG4QVGQ7qUsMYxdf7wUc4qZdFv23KlPanNFGHwZNXRIU3AuTx45zYfhSz9YNZp6jw,Unaongea Kwara Kasana ban eh?,/app/app/static/audioclip-1653411820000-4651.wav
m_UYgiw4rZHT6LKOPltrg_sHG4QVGQ7qUsMYxdf7wUc4qm9XeLqhMEYFUSoW5DR4JN6nW-SA-TGpaGlSvqW-an3w,Bismah,/app/app/static/audioclip-1653411867000-2603.wav
m_OzfS_mzlJG8OwgA2BchKvnG4QVGQ7qUsMYxdf7wUc4oEAe1JcpbW3tjaQNbkM5beoLPtxGwx1WlZaDk04pW1MA,How long does it take to register a business?,/app/app/static/audioclip-1653411920000-4139.wav
m_Eyoxp-gfizmRDtOatvC66nG4QVGQ7qUsMYxdf7wUc4qAkw-AmMgJE1UmAnQVlLktujo_iIXV_8-rl23IdU7dMQ,The Tako Badilisha Biashara awakened pony nifanye Nini.,/app/app/static/audioclip-1653412018000-5504.wav
m_KaVFnafA--QEu94sAFLh1XG4QVGQ7qUsMYxdf7wUc4rf7unUKSvuCyjwFxWJSRdb1WFyA2SJOpqq7oqkDoOfsw,Navestock was delicious.,/app/app/static/audioclip-1653412062000-4395.wav
m_xhbj8UiTJ7IOZgfmqaED6HG4QVGQ7qUsMYxdf7wUc4rAXqOiVeDV3PhDZrqfWR5wE1ly6z9Tv6KygsuZYeXrew,At organizo,/app/app/static/audioclip-1653412086000-4566.wav
m_-AnJShAp-5lRtq6HMMjrPHG4QVGQ7qUsMYxdf7wUc4qNVOM0Ox4LcFw1C__LaLaB1oZkZFe5gdyfwFC75DBVvQ,But I do suggest this idea Turner.,/app/app/static/audioclip-1653412132000-3030.wav
m_rNeSgK1jDhOkGnKy7GLL0HG4QVGQ7qUsMYxdf7wUc4pN7WzJ0mMg1a-FJrMoqRx3_WZR1C7Xt46gI-9H9NWzeg,What does Jessi DCA Insidia Turner?,/app/app/static/audioclip-1653412140000-3712.wav
m_L5891SB0jWTYLUdUus-JynG4QVGQ7qUsMYxdf7wUc4oV2Njt3Hr4BmL4ibHu9S55sj9Uk_ypqqakqEBGxsoQfw,Niyaj,/app/app/static/audioclip-1653412188000-2688.wav
m_IJfejbJWDJ4-hzDnNwVtO3G4QVGQ7qUsMYxdf7wUc4rzmf5PxO4ZMR0CvxNjZysJAmbE-7CrZfX6LG9Wt03cyg,Yeah J.,/app/app/static/audioclip-1653412230000-1835.wav
m_cN8Q0zMER7uzQ-euY33gZ3G4QVGQ7qUsMYxdf7wUc4puwvt0FYmGyphPYi_TzPW3OapfjhSM7Y-yMaMMF8WkVw,What is a business name?,/app/app/static/audioclip-1653470068000-4651.wav
m_MNW4oHDaVcrXBCVpaKtHo3G4QVGQ7qUsMYxdf7wUc4oyAZ6R7_3_Lr8o0t_ax7MciNh7GSWmWTpBJtO94lzkDg,Okay you go.,/app/app/static/audioclip-1653470131000-4224.wav
m_NsVvrfTnFGxEjTvZiccA-HG4QVGQ7qUsMYxdf7wUc4qHJMcbz592wCFy3CT4yeAd6W-tds-a39A0SsFwZEo_dg,"Nataka Kasaija, Libya shared an Afghani.",/app/app/static/audioclip-1653470382000-7808.wav
m_2328Ceg5VqioXWdaQWtOfXG4QVGQ7qUsMYxdf7wUc4pLti20Xq0PqgKmvOlGd8RjIQcoU8wBDLrMlLyTAz87fw,Nataka KUSA Jelly biashara.,/app/app/static/audioclip-1653470556000-5419.wav
m_TQmUUpZ34Vy9Bi03cjjcaHG4QVGQ7qUsMYxdf7wUc4qW3FAYcB9WLbfcD8Yx2lEDvAKc-zgaTb4dPKQAbZJ1Kw,Funny video.,/app/app/static/audioclip-1653470670000-4480.wav
m_t7dXAMpguJF3PMmDuCpyl3G4QVGQ7qUsMYxdf7wUc4rOlcuK5ZcC0YR69AbxjPgLTadq54aYlCOTsBe0pCvFfw,Nataka profiled return.,/app/app/static/audioclip-1653470790000-14891.wav
m_59N0_38XxGIhA9c2qYbE7HG4QVGQ7qUsMYxdf7wUc4r3eJEh8mzDBVgmYf6Fg-TaWPNsgvhpxMhZkWUWfjzsVQ,Where do I get the maintenance company?,/app/app/static/audioclip-1653470899000-3200.wav
m_mhME5xwVpydvSX0p5Pz5D3G4QVGQ7qUsMYxdf7wUc4qmrDY4lMFiyrPRhCbz-szM7ioFNHITqGrzs7JOwcBvOw,How do I link my business?,/app/app/static/audioclip-1653471059000-2518.wav
m_HgZFwYihJFcEb3IDMGP9nnG4QVGQ7qUsMYxdf7wUc4qvD-PRP7G2RcYRdD7zFLcmK3zaIXBa97yLF3e63bGMHw,Do you have link a business?,/app/app/static/audioclip-1653471120000-4736.wav
m_2iR6bPN1DV-f1XbbeTIo3HG4QVGQ7qUsMYxdf7wUc4pFte5el4POZb_W7SeOCudrjrv7n4RthsbGlhw6MMZxkg,Nini beneficial owner.,/app/app/static/audioclip-1653471242000-2859.wav
m_gBK5rziTcmRuEQinrTGi-XG4QVGQ7qUsMYxdf7wUc4pdTI0B4yPRTeVD5fy8_6EE-WJR_TGUxXKkFY7-ud4OOw,What is a beneficial honour?,/app/app/static/audioclip-1653471300000-2944.wav
m_BWxsKlT4hm-lG2AXwPgGlXG4QVGQ7qUsMYxdf7wUc4o_mINWSMCtPI6eI72eRCIJpZUSBCxQN9dF-OmrTNuJEQ,What is a business name?,/app/app/static/audioclip-1653471572000-4224.wav
m_VUTIDHRwVDYckkW_2gfteXG4QVGQ7qUsMYxdf7wUc4qrD1GhSLpync1wKxuuDW2WBZw8PDqphr2CXIeYdNz2Kw,Yes.,/app/app/static/audioclip-1653471657000-1494.wav
m_EfaBdDMvSujl2q6KRyv2NTobDtonK2n3520rCwXQPtmMxaMkC2S4NJGgA6Nikz-gLZfK1-N8dbOVMUpvCsl1Hw,How to register a business?,/app/app/static/audioclip-1653817063000-3391.wav
m_rbMKAHoQmhcP6akdx4DaAjobDtonK2n3520rCwXQPtkqeRKa0lRInnEMcuJnQwWdX9nX04mLPme4PjgkYJ63SQ,How to register a business?,/app/app/static/audioclip-1655276977000-2555.wav
m_-ZGrZ5DplWyLVaD2plvwvzobDtonK2n3520rCwXQPtmM-3eNNynz6kcpWXB0flzCjlzOONUP0B8qf4mhb9J0zA,Hello.,/app/app/static/audioclip-1655277172000-2926.wav
m_qxZyEF8h7bF7kFmzjqpRuDobDtonK2n3520rCwXQPtn4itnjRZ0P6DCXRT4-f3Q2_wdPagNv398700T5JupByw,Hello.,/app/app/static/audioclip-1655286074000-1161.wav
m_QlwiF9o-fcLY3Z7wdlherTobDtonK2n3520rCwXQPtnXWcA20m9tDq9_tNu8w17IUicT8T752Ej4JLPlGQO60A,Nataka Kuanza sha SME.,/app/app/static/audioclip-1655286580000-3042.wav
m_MnN_lzOxsvXHQHMmkw-a0TobDtonK2n3520rCwXQPtnvv3cEsI58H8xim-BenZS1NVEudWON2F2Z0pNziHM3tQ,How do I update my particulars?,/app/app/static/audioclip-1655286704000-3437.wav
m_1OkhD6C8sbk9KgSNC7v6MDobDtonK2n3520rCwXQPtktsxLyShuKY_vf8HgbTJeUMtZmjzpVD_MLhClcVXl8EQ,Biashara yangu nini,/app/app/static/audioclip-1655288950000-2415.wav
m_WlrdIjDXNR5XBeaMHt6MYjobDtonK2n3520rCwXQPtm7V-n0XidbRjDUHSbfyjvfZtf1wzDNidAF6qky1LbdZg,Jambo,/app/app/static/audioclip-1655289076000-1254.wav
m_EW4x8ANGuZSTQzHprZ34aDobDtonK2n3520rCwXQPtneFpD_n0ScyvTgGHZ3pA6dIMr-bbdrp5mJd6QdtQmFOg,Business ninini,/app/app/static/audioclip-1655289137000-1974.wav
m_h-4tarN8BANG9PjRpriSjjobDtonK2n3520rCwXQPtmTa6NIYvACjCIqzU7T4pjx6WJv5LDWaob-D6HBy1gPHA,Jenna company deoni,/app/app/static/audioclip-1655289404000-3971.wav
m_TaM6AYv1neA9OzftzT8ajjobDtonK2n3520rCwXQPtkf3H7eZOSa4hhOjM7ICCYC3wV4kcfKVY4LVq07xrY42w,Natka kumaka changes.,/app/app/static/audioclip-1655289520000-2555.wav
m_SpvxPq8kt_tzZQco9r0SYDobDtonK2n3520rCwXQPtkDT7b_MOWrNLCQKKVT502x1zpUzSfCYkZlwXGZuEX3Fw,What is a good business name?,/app/app/static/audioclip-1655290850000-2415.wav
m_V_JXtfDZxkKIrtmZYuG5QjobDtonK2n3520rCwXQPtm3-RGaigOlsQGoB1bM-E7Jn7MQw9lUWG0WDN4RmGPICg,Beshara nini,/app/app/static/audioclip-1655293292000-2137.wav
